Price,Adj Close,Close,High,Low,Open,Volume,company_name,ticker,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-28,178.44216918945312,180.19000244140625,180.58999633789062,178.5500030517578,180.08999633789062,43820700.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-08-29,182.33401489257812,184.1199951171875,184.89999389648438,179.5,179.6999969482422,53003900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-08-30,185.8297882080078,187.64999389648438,187.85000610351562,184.74000549316406,184.94000244140625,60813900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-08-31,186.04766845703125,187.8699951171875,189.1199951171875,187.47999572753906,187.83999633789062,60794500.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-01,187.62225341796875,189.4600067138672,189.9199981689453,188.27999877929688,189.49000549316406,45766500.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-05,187.85992431640625,189.6999969482422,189.97999572753906,187.61000061035156,188.27999877929688,45280000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-06,181.13577270507812,182.91000366210938,188.85000610351562,181.47000122070312,188.39999389648438,81755800.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-07,175.83766174316406,177.55999755859375,178.2100067138672,173.5399932861328,175.17999267578125,112488800.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-08,176.45164489746094,178.17999267578125,180.24000549316406,177.7899932861328,178.35000610351562,65551300.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-11,177.62022399902344,179.36000061035156,180.3000030517578,177.33999633789062,180.07000732421875,58953100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-12,174.5899200439453,176.3000030517578,180.1300048828125,174.82000732421875,179.49000549316406,90370200.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-13,172.5201873779297,174.2100067138672,177.3000030517578,173.97999572753906,176.50999450683594,84267900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-14,174.03533935546875,175.74000549316406,176.10000610351562,173.5800018310547,174.0,60895800.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-15,173.31239318847656,175.00999450683594,176.5,173.82000732421875,176.47999572753906,109259500.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-18,176.2436981201172,177.97000122070312,179.3800048828125,176.1699981689453,176.47999572753906,67257600.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-19,177.33302307128906,179.07000732421875,179.6300048828125,177.1300048828125,177.52000427246094,51826900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-20,173.7877655029297,175.49000549316406,179.6999969482422,175.39999389648438,179.25999450683594,58436200.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-21,172.24290466308594,173.92999267578125,176.3000030517578,173.86000061035156,174.5500030517578,63149100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-22,173.0945587158203,174.7899932861328,177.0800018310547,174.0500030517578,174.6699981689453,56725400.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-25,174.37203979492188,176.0800018310547,176.97000122070312,174.14999389648438,174.1999969482422,46172700.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-26,170.29202270507812,171.9600067138672,175.1999969482422,171.66000366210938,174.82000732421875,64588900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-27,168.77684020996094,170.42999267578125,173.0399932861328,169.0500030517578,172.6199951171875,66921800.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-28,169.03433227539062,170.69000244140625,172.02999877929688,167.6199951171875,169.33999633789062,56294400.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-09-29,169.54928588867188,171.2100067138672,173.07000732421875,170.33999633789062,172.02000427246094,51861100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-02,172.0646209716797,173.75,174.3000030517578,170.92999267578125,171.22000122070312,52164500.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-03,170.72772216796875,172.39999389648438,173.6300048828125,170.82000732421875,172.25999450683594,49594600.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-04,171.9755401611328,173.66000366210938,174.2100067138672,170.97000122070312,171.08999633789062,53020300.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-05,173.21340942382812,174.91000366210938,175.4499969482422,172.67999267578125,173.7899932861328,48527900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-06,175.7683563232422,177.49000549316406,177.99000549316406,173.17999267578125,173.8000030517578,57266700.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-09,177.25381469726562,178.99000549316406,179.0500030517578,175.8000030517578,176.80999755859375,42390800.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-10,176.65963745117188,178.38999938964844,179.72000122070312,177.9499969482422,178.10000610351562,43698000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-11,178.05596923828125,179.8000030517578,179.85000610351562,177.60000610351562,178.1999969482422,47551100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-12,178.95713806152344,180.7100067138672,182.33999633789062,179.0399932861328,180.07000732421875,56743100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-13,177.11520385742188,178.85000610351562,181.92999267578125,178.13999938964844,181.4199981689453,51427100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-16,176.98641967773438,178.72000122070312,179.0800018310547,176.50999450683594,176.75,52517000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-17,175.43165588378906,177.14999389648438,178.4199981689453,174.8000030517578,176.64999389648438,57549400.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-18,174.13436889648438,175.83999633789062,177.5800018310547,175.11000061035156,175.5800018310547,54764400.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-19,173.758056640625,175.4600067138672,177.83999633789062,175.19000244140625,176.0399932861328,59302900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-20,171.20310974121094,172.8800048828125,175.4199981689453,172.63999938964844,175.30999755859375,64244000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-23,171.32191467285156,173.0,174.00999450683594,169.92999267578125,170.91000366210938,55980100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-24,171.75762939453125,173.44000244140625,173.6699981689453,171.4499969482422,173.0500030517578,43816600.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-25,169.4403533935547,171.10000610351562,173.05999755859375,170.64999389648438,171.8800048828125,57157000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-26,165.27117919921875,166.88999938964844,171.3800048828125,165.6699981689453,170.3699951171875,70625300.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-27,166.5883026123047,168.22000122070312,168.9600067138672,166.8300018310547,166.91000366210938,58499100.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-30,168.63821411132812,170.2899932861328,171.1699981689453,168.8699951171875,169.02000427246094,51131000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-10-31,169.113525390625,170.77000427246094,170.89999389648438,167.89999389648438,169.35000610351562,44846000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-01,172.2825164794922,173.97000122070312,174.22999572753906,170.1199951171875,171.0,56934900.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-02,175.8475799560547,177.57000732421875,177.77999877929688,175.4600067138672,175.52000427246094,77334800.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-03,174.93649291992188,176.64999389648438,176.82000732421875,173.35000610351562,174.24000549316406,79829200.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-06,177.49147033691406,179.22999572753906,179.42999267578125,176.2100067138672,176.3800048828125,63841300.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-07,180.0563507080078,181.82000732421875,182.44000244140625,178.97000122070312,179.17999267578125,70530000.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-08,181.115966796875,182.88999938964844,183.4499969482422,181.58999633789062,182.35000610351562,49340300.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-09,180.64064025878906,182.41000366210938,184.1199951171875,181.80999755859375,182.9600067138672,53763500.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-10,184.8351287841797,186.39999389648438,186.57000732421875,183.52999877929688,183.97000122070312,66133400.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
2023-11-13,183.24855041503906,184.8000030517578,186.02999877929688,184.2100067138672,185.82000732421875,43627500.0,Apple Inc.,AAPL,,,,,,,,,,,,,,,,,,
