Price,Adj Close,Close,High,Low,Open,Volume,company_name,ticker,MA for 10 days,MA for 20 days,MA for 50 days
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,,,,
2023-08-28,178.44216918945312,180.19000244140625,180.58999633789062,178.5500030517578,180.08999633789062,43820700,Apple Inc.,AAPL,,,
2023-08-29,182.33401489257812,184.1199951171875,184.89999389648438,179.5,179.6999969482422,53003900,Apple Inc.,AAPL,,,
2023-08-30,185.8297882080078,187.64999389648438,187.85000610351562,184.74000549316406,184.94000244140625,60813900,Apple Inc.,AAPL,,,
2023-08-31,186.04766845703125,187.8699951171875,189.1199951171875,187.47999572753906,187.83999633789062,60794500,Apple Inc.,AAPL,,,
2023-09-01,187.62225341796875,189.4600067138672,189.9199981689453,188.27999877929688,189.49000549316406,45766500,Apple Inc.,AAPL,,,
2023-09-05,187.85992431640625,189.6999969482422,189.97999572753906,187.61000061035156,188.27999877929688,45280000,Apple Inc.,AAPL,,,
2023-09-06,181.13577270507812,182.91000366210938,188.85000610351562,181.47000122070312,188.39999389648438,81755800,Apple Inc.,AAPL,,,
2023-09-07,175.83766174316406,177.55999755859375,178.2100067138672,173.5399932861328,175.17999267578125,112488800,Apple Inc.,AAPL,,,
2023-09-08,176.45164489746094,178.17999267578125,180.24000549316406,177.7899932861328,178.35000610351562,65551300,Apple Inc.,AAPL,,,
2023-09-11,177.62022399902344,179.36000061035156,180.3000030517578,177.33999633789062,180.07000732421875,58953100,Apple Inc.,AAPL,181.9181121826172,,
2023-09-12,174.5899200439453,176.3000030517578,180.1300048828125,174.82000732421875,179.49000549316406,90370200,Apple Inc.,AAPL,181.53288726806642,,
2023-09-13,172.5201873779297,174.2100067138672,177.3000030517578,173.97999572753906,176.50999450683594,84267900,Apple Inc.,AAPL,180.55150451660157,,
2023-09-14,174.03533935546875,175.74000549316406,176.10000610351562,173.5800018310547,174.0,60895800,Apple Inc.,AAPL,179.37205963134767,,
2023-09-15,173.31239318847656,175.00999450683594,176.5,173.82000732421875,176.47999572753906,109259500,Apple Inc.,AAPL,178.0985321044922,,
2023-09-18,176.2436981201172,177.97000122070312,179.3800048828125,176.1699981689453,176.47999572753906,67257600,Apple Inc.,AAPL,176.96067657470704,,
2023-09-19,177.33302307128906,179.07000732421875,179.6300048828125,177.1300048828125,177.52000427246094,51826900,Apple Inc.,AAPL,175.90798645019532,,
2023-09-20,173.7877655029297,175.49000549316406,179.6999969482422,175.39999389648438,179.25999450683594,58436200,Apple Inc.,AAPL,175.17318572998047,,
2023-09-21,172.24290466308594,173.92999267578125,176.3000030517578,173.86000061035156,174.5500030517578,63149100,Apple Inc.,AAPL,174.81371002197267,,
2023-09-22,173.0945587158203,174.7899932861328,177.0800018310547,174.0500030517578,174.6699981689453,56725400,Apple Inc.,AAPL,174.4780014038086,,
2023-09-25,174.37203979492188,176.0800018310547,176.97000122070312,174.14999389648438,174.1999969482422,46172700,Apple Inc.,AAPL,174.15318298339844,178.0356475830078,
2023-09-26,170.29202270507812,171.9600067138672,175.1999969482422,171.66000366210938,174.82000732421875,64588900,Apple Inc.,AAPL,173.72339324951173,177.62814025878907,
2023-09-27,168.77684020996094,170.42999267578125,173.0399932861328,169.0500030517578,172.6199951171875,66921800,Apple Inc.,AAPL,173.34905853271485,176.9502815246582,
2023-09-28,169.03433227539062,170.69000244140625,172.02999877929688,167.6199951171875,169.33999633789062,56294400,Apple Inc.,AAPL,172.84895782470704,176.11050872802736,
2023-09-29,169.54928588867188,171.2100067138672,173.07000732421875,170.33999633789062,172.02000427246094,51861100,Apple Inc.,AAPL,172.47264709472657,175.28558959960938,
2023-10-02,172.0646209716797,173.75,174.3000030517578,170.92999267578125,171.22000122070312,52164500,Apple Inc.,AAPL,172.05473937988282,174.50770797729493,
2023-10-03,170.72772216796875,172.39999389648438,173.6300048828125,170.82000732421875,172.25999450683594,49594600,Apple Inc.,AAPL,171.3942092895508,173.65109786987304,
2023-10-04,171.9755401611328,173.66000366210938,174.2100067138672,170.97000122070312,171.08999633789062,53020300,Apple Inc.,AAPL,171.2129867553711,173.19308624267578,
2023-10-05,173.21340942382812,174.91000366210938,175.4499969482422,172.67999267578125,173.7899932861328,48527900,Apple Inc.,AAPL,171.3100372314453,173.06187362670897,
2023-10-06,175.7683563232422,177.49000549316406,177.99000549316406,173.17999267578125,173.8000030517578,57266700,Apple Inc.,AAPL,171.5774169921875,173.02770919799804,
2023-10-09,177.25381469726562,178.99000549316406,179.0500030517578,175.8000030517578,176.80999755859375,42390800,Apple Inc.,AAPL,171.86559448242187,173.00938873291017,
2023-10-10,176.65963745117188,178.38999938964844,179.72000122070312,177.9499969482422,178.10000610351562,43698000,Apple Inc.,AAPL,172.50235595703126,173.11287460327148,
2023-10-11,178.05596923828125,179.8000030517578,179.85000610351562,177.60000610351562,178.1999969482422,47551100,Apple Inc.,AAPL,173.43026885986328,173.38966369628906,
2023-10-12,178.95713806152344,180.7100067138672,182.33999633789062,179.0399932861328,180.07000732421875,56743100,Apple Inc.,AAPL,174.42254943847655,173.6357536315918,
2023-10-13,177.11520385742188,178.85000610351562,181.92999267578125,178.13999938964844,181.4199981689453,51427100,Apple Inc.,AAPL,175.17914123535155,173.82589416503907,
2023-10-16,176.98641967773438,178.72000122070312,179.0800018310547,176.50999450683594,176.75,52517000,Apple Inc.,AAPL,175.67132110595702,173.86303024291993,
2023-10-17,175.43165588378906,177.14999389648438,178.4199981689453,174.8000030517578,176.64999389648438,57549400,Apple Inc.,AAPL,176.14171447753907,173.76796188354493,
2023-10-18,174.13436889648438,175.83999633789062,177.5800018310547,175.11000061035156,175.5800018310547,54764400,Apple Inc.,AAPL,176.35759735107422,173.78529205322266,
2023-10-19,173.758056640625,175.4600067138672,177.83999633789062,175.19000244140625,176.0399932861328,59302900,Apple Inc.,AAPL,176.4120620727539,173.8610496520996,
2023-10-20,171.20310974121094,172.8800048828125,175.4199981689453,172.63999938964844,175.30999755859375,64244000,Apple Inc.,AAPL,175.95553741455078,173.76647720336913,
2023-10-23,171.32191467285156,173.0,174.00999450683594,169.92999267578125,170.91000366210938,55980100,Apple Inc.,AAPL,175.3623474121094,173.6139709472656,
2023-10-24,171.75762939453125,173.44000244140625,173.6699981689453,171.4499969482422,173.0500030517578,43816600,Apple Inc.,AAPL,174.8721466064453,173.68725128173827,
2023-10-25,169.4403533935547,171.10000610351562,173.05999755859375,170.64999389648438,171.8800048828125,57157000,Apple Inc.,AAPL,174.01058502197264,173.72042694091797,
2023-10-26,165.27117919921875,166.88999938964844,171.3800048828125,165.6699981689453,170.3699951171875,70625300,Apple Inc.,AAPL,172.6419891357422,173.5322692871094,
2023-10-27,166.5883026123047,168.22000122070312,168.9600067138672,166.8300018310547,166.91000366210938,58499100,Apple Inc.,AAPL,171.58929901123048,173.38422012329102,
2023-10-30,168.63821411132812,170.2899932861328,171.1699981689453,168.8699951171875,169.02000427246094,51131000,Apple Inc.,AAPL,170.75447845458984,173.21289978027343,
2023-10-31,169.113525390625,170.77000427246094,170.89999389648438,167.89999389648438,169.35000610351562,44846000,Apple Inc.,AAPL,170.12266540527344,173.13218994140624,
2023-11-01,172.2825164794922,173.97000122070312,174.22999572753906,170.1199951171875,171.0,56934900,Apple Inc.,AAPL,169.9374801635742,173.1475387573242,
2023-11-02,175.8475799560547,177.57000732421875,177.77999877929688,175.4600067138672,175.52000427246094,77334800,Apple Inc.,AAPL,170.14643249511718,173.27924728393555,
2023-11-03,174.93649291992188,176.64999389648438,176.82000732421875,173.35000610351562,174.24000549316406,79829200,Apple Inc.,AAPL,170.51977081298827,173.23765411376954,
2023-11-06,177.49147033691406,179.22999572753906,179.42999267578125,176.2100067138672,176.3800048828125,63841300,Apple Inc.,AAPL,171.13672637939453,173.24953689575196,174.8871926879883
2023-11-07,180.0563507080078,181.82000732421875,182.44000244140625,178.97000122070312,179.17999267578125,70530000,Apple Inc.,AAPL,171.9665985107422,173.41937255859375,174.9194763183594
2023-11-08,181.115966796875,182.88999938964844,183.4499969482422,181.58999633789062,182.35000610351562,49340300,Apple Inc.,AAPL,173.13415985107423,173.57237243652344,174.8951153564453
2023-11-09,180.64064025878906,182.41000366210938,184.1199951171875,181.80999755859375,182.9600067138672,53763500,Apple Inc.,AAPL,174.67110595703124,173.65654754638672,174.79133239746093
2023-11-10,184.8351287841797,186.39999389648438,186.57000732421875,183.52999877929688,183.97000122070312,66133400,Apple Inc.,AAPL,176.49578857421875,174.04254379272462,174.76708160400392
2023-11-13,183.24855041503906,184.8000030517578,186.02999877929688,184.2100067138672,185.82000732421875,43627500,Apple Inc.,AAPL,177.95682220458986,174.35565032958985,174.6796075439453
2023-11-14,185.8663787841797,187.44000244140625,188.11000061035156,186.3000030517578,187.6999969482422,60108400,Apple Inc.,AAPL,179.63210754394532,174.87738647460938,174.63973663330077
2023-11-15,186.43157958984375,188.00999450683594,189.5,187.77999877929688,187.85000610351562,53790500,Apple Inc.,AAPL,181.04701385498046,175.49224700927735,174.7456527709961
2023-11-16,188.1173553466797,189.7100067138672,190.9600067138672,188.64999389648438,189.57000732421875,54412900,Apple Inc.,AAPL,182.27399139404298,176.21021194458007,174.9912466430664
2023-11-17,188.09750366210938,189.69000244140625,190.3800048828125,188.57000732421875,190.25,50922700,Apple Inc.,AAPL,183.59009246826173,177.054931640625,175.2241638183594
2023-11-20,189.8427276611328,191.4499969482422,191.91000366210938,189.8800048828125,189.88999938964844,46505100,Apple Inc.,AAPL,184.8252182006836,177.98097229003906,175.46861389160156
2023-11-21,189.03953552246094,190.63999938964844,191.52000427246094,189.74000549316406,191.41000366210938,38134500,Apple Inc.,AAPL,185.7235366821289,178.84506759643554,175.75760620117188
2023-11-22,189.70391845703125,191.30999755859375,192.92999267578125,190.8300018310547,191.49000549316406,39617700,Apple Inc.,AAPL,186.58233184814452,179.85824584960938,176.1012808227539
2023-11-24,188.37515258789062,189.97000122070312,190.89999389648438,189.25,190.8699951171875,24048300,Apple Inc.,AAPL,187.35578308105468,181.01344451904296,176.38807708740234
2023-11-27,188.1966552734375,189.7899932861328,190.6699981689453,188.89999389648438,189.9199981689453,40552600,Apple Inc.,AAPL,187.69193572998046,182.0938621520996,176.68576232910155
2023-11-28,188.80154418945312,190.39999389648438,191.0800018310547,189.39999389648438,189.77999877929688,38415400,Apple Inc.,AAPL,188.2472351074219,183.10202865600587,176.93691925048827
2023-11-29,187.78018188476562,189.3699951171875,192.08999633789062,188.97000122070312,190.89999389648438,43014200,Apple Inc.,AAPL,188.43861541748046,184.03536148071288,177.14586242675782
2023-11-30,188.3553009033203,189.9499969482422,190.32000732421875,188.19000244140625,189.83999633789062,48794400,Apple Inc.,AAPL,188.63098754882813,184.8390007019043,177.4372131347656
2023-12-01,189.63450622558594,191.24000549316406,191.55999755859375,189.22999572753906,190.3300018310547,45704800,Apple Inc.,AAPL,188.78270263671874,185.52834701538086,177.78504516601564
2023-12-04,187.83969116210938,189.42999267578125,190.0500030517578,187.4499969482422,189.97999572753906,43389500,Apple Inc.,AAPL,188.75692138671874,186.17350692749022,178.07994781494142
2023-12-05,191.79620361328125,193.4199981689453,194.39999389648438,190.17999267578125,190.2100067138672,66628400,Apple Inc.,AAPL,188.9522689819336,186.88874359130858,178.4284310913086
2023-12-06,190.7054443359375,192.32000732421875,194.75999450683594,192.11000061035156,194.4499969482422,41089700,Apple Inc.,AAPL,189.11885986328124,187.42119827270508,178.83669952392577
2023-12-07,192.63905334472656,194.27000427246094,195.0,193.58999633789062,193.6300048828125,47477700,Apple Inc.,AAPL,189.4123733520508,187.99735260009766,179.31394378662108
2023-12-08,194.06695556640625,195.7100067138672,195.99000549316406,193.6699981689453,194.1999969482422,53406400,Apple Inc.,AAPL,189.98155364990234,188.6686683654785,179.81459625244142
2023-12-11,191.55819702148438,193.17999267578125,193.49000549316406,191.4199981689453,193.11000061035156,60943700,Apple Inc.,AAPL,190.31770782470704,189.00482177734375,180.25477447509766
2023-12-12,193.07537841796875,194.7100067138672,194.72000122070312,191.72000122070312,193.0800018310547,52696900,Apple Inc.,AAPL,190.7450912475586,189.49616317749025,180.67498962402342
2023-12-13,196.29806518554688,197.9600067138672,198.0,194.85000610351562,195.08999633789062,70404200,Apple Inc.,AAPL,191.5968795776367,190.0177474975586,181.186396484375
2023-12-14,196.44683837890625,198.11000061035156,199.6199951171875,196.16000366210938,198.02000427246094,66831600,Apple Inc.,AAPL,192.40603332519532,190.5185104370117,181.67582244873046
2023-12-15,195.91134643554688,197.57000732421875,198.39999389648438,197.0,197.52999877929688,128538400,Apple Inc.,AAPL,193.0337173461914,190.90820999145507,182.12978118896484
2023-12-18,194.24546813964844,195.88999938964844,196.6300048828125,194.38999938964844,196.08999633789062,55751900,Apple Inc.,AAPL,193.6742950439453,191.21560821533203,182.49932342529297
2023-12-19,195.28665161132812,196.94000244140625,196.9499969482422,195.88999938964844,196.16000366210938,40714100,Apple Inc.,AAPL,194.02333984375,191.4878044128418,182.85998016357422
2023-12-20,193.19435119628906,194.8300018310547,197.67999267578125,194.8300018310547,196.89999389648438,52242800,Apple Inc.,AAPL,194.27223052978516,191.6955451965332,183.19067443847655
2023-12-21,193.04559326171875,194.67999267578125,197.0800018310547,193.5,196.10000610351562,46482500,Apple Inc.,AAPL,194.31288452148436,191.86262893676758,183.49046691894532
2023-12-22,191.9746856689453,193.60000610351562,195.41000366210938,192.97000122070312,195.17999267578125,37149600,Apple Inc.,AAPL,194.1036575317383,192.0426055908203,183.75081787109374
2023-12-26,191.42930603027344,193.0500030517578,193.88999938964844,192.8300018310547,193.61000061035156,28919300,Apple Inc.,AAPL,194.09076843261718,192.2042381286621,184.0370999145508
2023-12-27,191.5284423828125,193.14999389648438,193.5,191.08999633789062,192.49000549316406,48087700,Apple Inc.,AAPL,193.93607482910156,192.34058303833007,184.32794036865235
2023-12-28,191.95484924316406,193.5800018310547,194.66000366210938,193.1699981689453,194.13999938964844,34049900,Apple Inc.,AAPL,193.5017532348633,192.54931640625,184.65840423583984
2023-12-29,190.91368103027344,192.52999877929688,194.39999389648438,191.72999572753906,193.89999389648438,42672100,Apple Inc.,AAPL,192.9484375,192.67723541259767,184.99399047851563
2024-01-02,184.0814971923828,185.63999938964844,188.44000244140625,183.88999938964844,187.14999389648438,82488700,Apple Inc.,AAPL,191.76545257568358,192.3995849609375,185.2004592895508
2024-01-03,182.7031707763672,184.25,185.8800048828125,183.42999267578125,184.22000122070312,58414500,Apple Inc.,AAPL,190.61122283935546,192.14275894165038,185.4304605102539
2024-01-04,180.38284301757812,181.91000366210938,183.08999633789062,180.8800048828125,182.14999389648438,71983600,Apple Inc.,AAPL,189.12084197998047,191.57209091186525,185.61167907714844
2024-01-05,179.65895080566406,181.17999267578125,182.75999450683594,180.1699981689453,181.99000549316406,62379700,Apple Inc.,AAPL,187.76730194091797,191.01976623535157,185.7697055053711
2024-01-08,184.00218200683594,185.55999755859375,185.60000610351562,181.5,182.08999633789062,59144500,Apple Inc.,AAPL,186.8629608154297,190.58792266845703,186.06094207763672
2024-01-09,183.585693359375,185.13999938964844,185.14999389648438,182.72999572753906,183.9199981689453,42841800,Apple Inc.,AAPL,186.02406158447266,190.06385955810546,186.42723236083984
2024-01-10,184.6268768310547,186.19000244140625,186.39999389648438,183.9199981689453,184.35000610351562,46792900,Apple Inc.,AAPL,185.34381866455078,189.717293548584,186.78800384521483
2024-01-11,184.0319061279297,185.58999633789062,187.0500030517578,183.6199951171875,186.5399932861328,49128400,Apple Inc.,AAPL,184.5941650390625,189.26511993408204,187.09587768554687
2024-01-12,184.35914611816406,185.9199981689453,186.74000549316406,185.19000244140625,186.05999755859375,40477800,Apple Inc.,AAPL,183.8345947265625,188.66817398071288,187.40079010009765
2024-01-16,182.08836364746094,183.6300048828125,184.25999450683594,180.92999267578125,182.16000366210938,65603000,Apple Inc.,AAPL,182.95206298828126,187.95025024414062,187.59690704345704
2024-01-17,181.14634704589844,182.67999267578125,182.92999267578125,180.3000030517578,181.27000427246094,47317400,Apple Inc.,AAPL,182.6585479736328,187.2120002746582,187.7028823852539
